,BEGIN_POST,END_POST,crash_num,crash,month,day,hour,min,zone_id
42,3.0,5.0,1,yes,2,22,13,10,9749.0
42,3.0,5.0,1,yes,2,22,13,10,9750.0
42,3.0,5.0,1,yes,2,22,13,10,9752.0
42,3.0,5.0,1,yes,2,22,13,10,6147.0
42,3.0,5.0,1,yes,2,22,13,10,6552.0
42,3.0,5.0,1,yes,2,22,13,10,6568.0
42,3.0,5.0,1,yes,2,22,13,10,6588.0
42,3.0,5.0,1,yes,2,22,13,10,7043.0
42,3.0,5.0,1,yes,2,22,13,10,7080.0
42,3.0,5.0,1,yes,2,22,13,10,7739.0
42,3.0,5.0,1,yes,2,22,13,10,9682.0
42,3.0,5.0,1,yes,2,22,13,10,9697.0
42,3.0,5.0,1,yes,2,22,13,10,9699.0
42,3.0,5.0,1,yes,2,22,13,10,9745.0
42,3.0,5.0,1,yes,2,22,13,10,9747.0
42,3.0,5.0,1,yes,2,22,13,10,9748.0
42,3.0,5.0,1,yes,2,22,13,10,9751.0
42,3.0,5.0,1,yes,2,22,13,10,9753.0
42,3.0,5.0,1,yes,2,22,13,10,13520.0
42,3.0,5.0,1,yes,2,22,13,10,13521.0
43,3.0,5.0,1,yes,2,20,6,45,6110.0
43,3.0,5.0,1,yes,2,20,6,45,6564.0
43,3.0,5.0,1,yes,2,20,6,45,6587.0
43,3.0,5.0,1,yes,2,20,6,45,6834.0
43,3.0,5.0,1,yes,2,20,6,45,7042.0
43,3.0,5.0,1,yes,2,20,6,45,7045.0
43,3.0,5.0,1,yes,2,20,6,45,7738.0
43,3.0,5.0,1,yes,2,20,6,45,9681.0
43,3.0,5.0,1,yes,2,20,6,45,9698.0
43,3.0,5.0,1,yes,2,20,6,45,9744.0
43,3.0,5.0,1,yes,2,20,6,45,9746.0
43,3.0,5.0,1,yes,2,20,6,45,9749.0
43,3.0,5.0,1,yes,2,20,6,45,9750.0
43,3.0,5.0,1,yes,2,20,6,45,9752.0
43,3.0,5.0,1,yes,2,20,6,45,6147.0
43,3.0,5.0,1,yes,2,20,6,45,6552.0
43,3.0,5.0,1,yes,2,20,6,45,6568.0
43,3.0,5.0,1,yes,2,20,6,45,6588.0
43,3.0,5.0,1,yes,2,20,6,45,7043.0
43,3.0,5.0,1,yes,2,20,6,45,7080.0
43,3.0,5.0,1,yes,2,20,6,45,7739.0
43,3.0,5.0,1,yes,2,20,6,45,9682.0
43,3.0,5.0,1,yes,2,20,6,45,9697.0
43,3.0,5.0,1,yes,2,20,6,45,9699.0
43,3.0,5.0,1,yes,2,20,6,45,9745.0
43,3.0,5.0,1,yes,2,20,6,45,9747.0
43,3.0,5.0,1,yes,2,20,6,45,9748.0
43,3.0,5.0,1,yes,2,20,6,45,9751.0
43,3.0,5.0,1,yes,2,20,6,45,9753.0
43,3.0,5.0,1,yes,2,20,6,45,13520.0
43,3.0,5.0,1,yes,2,20,6,45,13521.0
44,3.0,5.0,1,yes,2,10,8,54,6110.0
44,3.0,5.0,1,yes,2,10,8,54,6564.0
44,3.0,5.0,1,yes,2,10,8,54,6587.0
44,3.0,5.0,1,yes,2,10,8,54,6834.0
44,3.0,5.0,1,yes,2,10,8,54,7042.0
44,3.0,5.0,1,yes,2,10,8,54,7045.0
44,3.0,5.0,1,yes,2,10,8,54,7738.0
44,3.0,5.0,1,yes,2,10,8,54,9681.0
44,3.0,5.0,1,yes,2,10,8,54,9698.0
44,3.0,5.0,1,yes,2,10,8,54,9744.0
44,3.0,5.0,1,yes,2,10,8,54,9746.0
44,3.0,5.0,1,yes,2,10,8,54,9749.0
44,3.0,5.0,1,yes,2,10,8,54,9750.0
44,3.0,5.0,1,yes,2,10,8,54,9752.0
44,3.0,5.0,1,yes,2,10,8,54,6147.0
44,3.0,5.0,1,yes,2,10,8,54,6552.0
44,3.0,5.0,1,yes,2,10,8,54,6568.0
44,3.0,5.0,1,yes,2,10,8,54,6588.0
44,3.0,5.0,1,yes,2,10,8,54,7043.0
44,3.0,5.0,1,yes,2,10,8,54,7080.0
44,3.0,5.0,1,yes,2,10,8,54,7739.0
44,3.0,5.0,1,yes,2,10,8,54,9682.0
44,3.0,5.0,1,yes,2,10,8,54,9697.0
44,3.0,5.0,1,yes,2,10,8,54,9699.0
44,3.0,5.0,1,yes,2,10,8,54,9745.0
44,3.0,5.0,1,yes,2,10,8,54,9747.0
44,3.0,5.0,1,yes,2,10,8,54,9748.0
44,3.0,5.0,1,yes,2,10,8,54,9751.0
44,3.0,5.0,1,yes,2,10,8,54,9753.0
44,3.0,5.0,1,yes,2,10,8,54,13520.0
44,3.0,5.0,1,yes,2,10,8,54,13521.0
45,3.0,5.0,1,yes,3,15,1,12,6110.0
45,3.0,5.0,1,yes,3,15,1,12,6564.0
