zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"6103",I-4 @ 435-link1,District 5,Orlando,America/New_York,I-4,East,I-4 @ 435,Unknown,FDOT,Single Loop,28.4673,-81.4607,,"70","30",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6124",I-4 WB @ MM 072.1-EB,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM072.1 WS,Unknown,FDOT,Radar,28.4262,-81.4745,,"45","30",0.2,,,,,,,,5.000000000000000,11.000000000000000,,
"6334",RSE-09_I-4_Sandlake-EB,District 5,Orlando,America/New_York,I-4,East,RSE-09_I-4_Sandlake,Unknown,FDOT,OBE,28.449149,-81.474054,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6336",RSE-08_I-4_E_of_Sandlake-EB,District 5,Orlando,America/New_York,I-4,East,RSE-08_I-4_E_of_Sandlake,Unknown,FDOT,OBE,28.457391,-81.473786,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6338",RSE-11_I-4_SR-528_WB_Ramp-EB,District 5,Orlando,America/New_York,I-4,East,RSE-11_I-4_SR-528_WB_Ramp,Unknown,FDOT,OBE,28.422089,-81.473999,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6347",RSE-07_I-4_W_of_Universal-EB,District 5,Orlando,America/New_York,I-4,East,RSE-07_I-4_W_of_Universal,Unknown,FDOT,OBE,28.462386,-81.469039,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6351",RSE-10_I-4_E_of_SR-528-EB,District 5,Orlando,America/New_York,I-4,East,RSE-10_I-4_E_of_SR-528,Unknown,FDOT,OBE,28.434072,-81.473874,,,"20",1,,,,,,,,5.000000000000000,11.000000000000000,,
"6462",I-4 528 E/B Ramp-link1,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM071.9 ES,Unknown,FDOT,Single Loop,28.42258,-81.474,,"65","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"6570",I-4 East of Sand Lake-EB,District 5,Orlando,America/New_York,I-4,East,I-4 East of Sand Lake(SR 482),Unknown,FDOT,Single Loop,28.4579,-81.4731,,"65","30",,,,,,,,,5.000000000000000,11.000000000000000,,
"6576",I-4 W of Sand Lake-EB,District 5,Orlando,America/New_York,I-4,East,MVDS: I-4 at ORA MM073.2 WS,Unknown,FDOT,Single Loop,28.442,-81.4746,,"70","30",,,,,,,,,5.000000000000000,11.000000000000000,,
